"","factor","Type","RMSE"
"1",10,"Train.RMSE",0.8955452
"2",10,"Test.RMSE",0.9134247
"3",50,"Train.RMSE",0.8943138
"4",50,"Test.RMSE",0.9120027
"5",100,"Train.RMSE",0.8933866
"6",100,"Test.RMSE",0.9110096
